均,jūn
坊,fāng
坌,bèn
坍,tān
坎,kǎn
坏,huài
坐,zuò
坑,kēng
块,kuài
坚,jiān
坛,tán
坜,lì
坝,bà
坞,wù
坟,fén
坠,zhuì
坡,pō
坤,kūn
坦,tǎn
坨,tuó
坩,gān
坪,píng
坫,diàn
坭,ní
坯,pī
坳,ào
坶,mù
坷,kē
坻,dǐ
坼,chè
垂,chuí
垃,lā
垄,lǒng
垅,lǒng
垆,lú
型,xíng
垌,dòng
垒,lěi
垓,gāi
垛,duǒ
垠,yín
垡,fá
垢,gòu
垣,yuán
垤,dié
垦,kěn
垧,shǎng
垩,è
垫,diàn
垭,yà
垮,kuǎ
垲,kǎi
垴,nǎo
垸,yuàn
埂,gěng
埃,āi
埋,mái
城,chéng
埏,shān
埒,liè
埔,pǔ
埕,chéng
埘,shí
埙,xūn
埚,guō
埝,niàn
域,yù
埠,bù
埤,pí
埭,dài
埯,ǎn
埴,zhí
埸,yì
培,péi
基,jī
埽,sào
堀,kū
堂,táng
堆,duī
堇,jǐn
堋,péng
堍,tù
堑,qiàn
堕,duò
堙,yīn
堞,dié
堠,hòu
堡,pù
堤,dī
堪,kān
堰,yàn
堵,dǔ
塄,léng
塌,tā
塍,chéng
塑,sù
塔,tǎ
塘,táng
塞,sāi
塥,gé
填,tián
塬,yuán
塾,shú
墀,chí
墁,màn
境,jìng
墅,shù
墉,yōng
墒,shāng
墓,mù
墙,qiáng
墚,liáng
增,zēng
墟,xū
墨,mò
墩,dūn
墼,jī
壁,bì
壅,yōng
壑,hè
壕,háo
壤,rǎng
士,shì
壬,rén
壮,zhuàng
声,shēng
壳,ké
壶,hú
壹,yī
夂,zhǐ
处,chǔ
备,bèi
复,fù
夏,xià
夔,kuí
夕,xī
外,wài
夙,sù
多,duō
夜,yè
够,gòu
夤,yín
夥,huǒ
大,dà
天,tiān
太,tài
夫,fū
夭,yāo
央,yāng
夯,hāng
失,shī
头,tóu
夷,yí
夸,kuā
夹,jiā
夺,duó
夼,kuǎng
奁,lián
奂,huàn
奄,yǎn
奇,qí
奈,nài
奉,fèng
奋,fèn
奎,kuí
奏,zòu
契,qì
奔,bēn
奕,yì
奖,jiǎng
套,tào
奘,zàng
奚,xī
奠,diàn
奢,shē
奥,ào
女,nǚ
奴,nú
奶,nǎi
奸,jiān
她,tā
好,hǎo
妁,shuò
如,rú
妃,fēi
妄,wàng
妆,zhuāng
妇,fù
妈,mā
妊,rèn
妍,yán
妒,dù
妓,jì
妖,yāo
妗,jìn
妙,miào
妞,niū
妣,bǐ
妤,yú
妥,tuǒ
妨,fáng
妩,wǔ
妪,yù
妫,guī
妮,nī
妯,zhóu
妲,dá
妹,mèi
妻,qī
妾,qiè
姆,mǔ
姊,zǐ
始,shǐ
姐,jiě
姑,gū
姒,sì
姓,xìng
委,wěi
姗,shān
姘,pīn
姚,yáo
姜,jiāng
姝,shū
姣,jiāo
姥,lǎo
姨,yí
姬,jī
姹,chà
姻,yīn
姿,zī
威,wēi
娃,wá
娄,lóu
娅,yà
娆,ráo
娇,jiāo
娈,luán
娉,pīng
娌,lǐ
娑,suō
娓,wěi
娘,niáng
娜,nà
娟,juān
娠,shēn
娣,dì
娥,é
娩,miǎn
娱,yú
娲,wā
娴,xián
娶,qǔ
娼,chāng
婀,ē
婆,pó
婉,wǎn
